m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time,factor
100,50,25,4758,223.0573221337084,4015,194.28464433352872,25,0.1945214,9.396715109947874e-6
200,100,50,18818,609.1346112964624,16132,539.737873066073,50,2.6187754,9.778309903105819e-6
300,150,75,42162,1003.0002487815082,36314,868.2570851269408,75,8.3045953,9.850229015563457e-6
400,200,100,75400,1528.7476328586058,69229,1340.0101482455036,100,14.4897579,9.916534081119138e-6
500,250,125,117298,2122.9663634564267,108377,1870.8077912890942,125,22.6550058,9.904203929618745e-6
1000,500,250,465310,5580.399732791002,436404,4887.3492685593965,250,199.6405276,9.947282269953377e-6
2000,1000,500,1840314,13737.370761761711,1711201,11783.556777806847,500,1106.5872395,9.954758384154375e-6
3000,1500,750,4086807,23888.77023017484,3861167,20462.82808803685,750,2482.7937343,9.764171560986888e-6
4000,2000,1000,7223207,34999.29109109842,6756614,30032.939328697412,1000,4739.2063008,9.721829456096375e-6
5000,2500,1250,11204577,47656.65689150685,10533673,40718.92121674059,1250,7205.9475506,1.5180149070734923e-5
