m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221337084,3978,194.2828187132305,25,0.1590464
200,100,50,18818,609.1346112964624,15811,539.7325953934904,50,0.8556489
300,150,75,42162,1003.0002487815082,35540,868.2485326800514,75,1.7670322
400,200,100,75400,1528.7476328586058,67754,1339.9968601209716,100,2.8763822
500,250,125,117298,2122.9663634564267,106042,1870.789262610728,125,4.3286551
1000,500,250,465310,5580.399732791002,426933,4887.300653200261,250,22.0145948
2000,1000,500,1840314,13737.370761761711,1670089,11783.439476513924,500,99.0556354
3000,1500,750,4086807,23888.77023017484,3766656,20462.628287423664,750,202.4984589
4000,2000,1000,7223207,34999.29109109842,6597660,30032.647356421698,1000,399.0650593
5000,2500,1250,11204577,47656.65689150685,10291141,40718.303106829524,1250,538.6899056
