m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221337084,3733,194.27542789422793,25,2.1525211
200,100,50,18818,609.1346112964624,14941,539.7047759651513,50,52.0360586
300,150,75,42162,1003.0002487815082,33761,868.1903788282206,75,110.0645263
400,200,100,75400,1528.7476328586058,64277,1339.8944973073324,100,274.6771953
500,250,125,117298,2122.9663634564267,100815,1870.6339704678112,125,450.7123056
1000,500,250,465310,5580.399732791002,410053,4886.755828414551,250,3622.146734
2000,1000,500,1840314,13737.370761761711,-1,-1.0,-1,7200.3569039
3000,1500,750,4086807,23888.77023017484,-1,-1.0,-1,-1.0
4000,2000,1000,7223207,34999.29109109842,-1,-1.0,-1,-1.0
5000,2500,1250,11204577,47656.65689150685,-1,-1.0,-1,-1.0
