m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time,factor
100,50,25,4758,223.0573221337084,4007,194.28461383384567,25,0.1641892,9.23972910752439e-6
200,100,50,18818,609.1346112964624,15929,539.7372236919823,50,2.8080944,8.575169503135052e-6
300,150,75,42162,1003.0002487815082,35793,868.2567691316635,75,6.4971108,9.486283364836033e-6
400,200,100,75400,1528.7476328586058,68094,1340.0094142745115,100,11.0682778,9.368793251322871e-6
500,250,125,117298,2122.9663634564267,106691,1870.8054528677717,125,20.9520951,8.654238811016015e-6
1000,500,250,465310,5580.399732791002,428870,4887.346819465096,250,72.9546074,9.44616836795323e-6
2000,1000,500,1840314,13737.370761761711,1676123,11783.549148909442,500,309.0827359,9.307333036038531e-6
3000,1500,750,4086807,23888.77023017484,3778015,20462.807564557235,750,586.8496021,8.761197782275502e-6
4000,2000,1000,7223207,34999.29109109842,6614366,30032.927193244996,1000,1050.9910098,9.317754108617393e-6
5000,2500,1250,11204577,47656.65689150685,10313646,40718.6607663947,1250,1471.8520228,8.783754181438862e-6
