m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221337084,3734,194.27530363650482,25,9.1103505
200,100,50,18818,609.1346112964624,14943,539.7045058123316,50,154.6776928
300,150,75,42162,1003.0002487815082,33760,868.1900296243457,75,3845.0898282
400,200,100,75400,1528.7476328586058,-1,-1.0,-1,-1.0
500,250,125,117298,2122.9663634564267,-1,-1.0,-1,-1.0
1000,500,250,465310,5580.399732791002,-1,-1.0,-1,-1.0
2000,1000,500,1840314,13737.370761761711,-1,-1.0,-1,-1.0
3000,1500,750,4086807,23888.77023017484,-1,-1.0,-1,-1.0
4000,2000,1000,7223207,34999.29109109842,-1,-1.0,-1,-1.0
5000,2500,1250,11204577,47656.65689150685,-1,-1.0,-1,-1.0
