m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221337084,3736,194.2759605854404,25,0.3235718
200,100,50,18818,609.1346112964624,14951,539.7071991058242,50,4.0694687
300,150,75,42162,1003.0002487815082,33722,868.1955059185011,75,7.0106016
400,200,100,75400,1528.7476328586058,64178,1339.9044860460228,100,9.3426812
500,250,125,117298,2122.9663634564267,100679,1870.6485830311954,125,13.5237909
1000,500,250,465310,5580.399732791002,408950,4886.808123966345,250,100.384665
2000,1000,500,1840314,13737.370761761711,1621591,11781.873174678363,500,443.1701152
3000,1500,750,4086807,23888.77023017484,3686943,20459.438345085342,750,895.6326982
4000,2000,1000,7223207,34999.29109109842,6519312,30027.8379015223,1000,1639.3938508
5000,2500,1250,11204577,47656.65689150685,10202241,40711.35108330202,1250,2572.9585668
