m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.9636800000000001,0.5069825200069433,0.8220793348518644,1.888,4.3764385400000005
120,60,30,100,0.9633888888888889,0.5051661363101883,0.8182668745598415,1.9266666666666665,54.99184024
140,70,35,100,0.9720816326530614,0.5100379696617159,0.8233185442467812,1.9257142857142857,70.49952168
160,80,40,100,0.96284375,0.5086983759595841,0.8202602287344798,1.9150000000000003,101.96901858
180,90,45,100,0.9671851851851854,0.5106609747122526,0.8183145993421392,1.9333333333333336,175.67580944000002
200,100,50,100,0.9659600000000002,0.5108840643837729,0.8210849710693557,1.94,238.35925578
220,110,55,100,0.9697355371900827,0.5121090657550157,0.8178898866212183,1.9709090909090907,283.74377096
240,120,60,100,0.9616805555555556,0.5083078821345943,0.8192755240388646,1.9633333333333334,224.19540053999998
260,130,65,100,0.9716449704142012,0.5145256615535697,0.817012339662383,1.9415384615384617,272.84942054
280,140,70,100,0.9665612244897959,0.5109533458728812,0.8201150797104795,1.9600000000000002,303.5394688
300,150,75,100,0.9681155555555556,0.5137537142400126,0.8209050115315876,1.9626666666666668,392.70991922
320,160,80,100,0.96675,0.5121522202013675,0.8205461513431251,1.9725000000000001,409.06909074
340,170,85,100,0.9682768166089964,0.5135588271628929,0.818588516666761,1.9741176470588235,599.2089992600002
360,180,90,100,0.9706851851851853,0.5161761582821016,0.8119123699163507,1.9622222222222223,686.24716182
380,190,95,100,0.9668642659279779,0.5136694420496598,0.8142648972400188,1.972631578947368,584.8797455800001
400,200,100,100,0.9716950000000001,0.5157679590688152,0.8150458771618847,1.968,640.64437148
420,210,105,100,-1.0,-1.0,-1.0,-1.0,-1.0
440,220,110,100,-1.0,-1.0,-1.0,-1.0,-1.0
460,230,115,100,-1.0,-1.0,-1.0,-1.0,-1.0
480,240,120,100,-1.0,-1.0,-1.0,-1.0,-1.0
500,250,125,100,-1.0,-1.0,-1.0,-1.0,-1.0
520,260,130,100,-1.0,-1.0,-1.0,-1.0,-1.0
540,270,135,100,-1.0,-1.0,-1.0,-1.0,-1.0
560,280,140,100,-1.0,-1.0,-1.0,-1.0,-1.0
580,290,145,100,-1.0,-1.0,-1.0,-1.0,-1.0
600,300,150,100,-1.0,-1.0,-1.0,-1.0,-1.0
60,30,15,100,0.9617777777777778,0.5018724562406925,0.8337284687258493,1.8933333333333333,0.87250072
80,40,20,100,0.9594999999999999,0.502869452648494,0.824943867831933,1.95,2.9621341
