m,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
60,15,100,0.964222222,0.503148402,0.833735777,1.906666667,0.7676564
80,20,100,0.960375,0.503328154,0.824944864,1.95,2.04446072
100,25,100,0.96408,0.507193093,0.822080259,1.896,4.39886098
120,30,100,0.9635,0.505224091,0.818266999,1.926666667,35.8733555
140,35,100,0.972244898,0.510123467,0.823318649,1.925714286,103.5846234
160,40,100,0.962875,0.508714964,0.820260295,1.915,121.1786033
180,45,100,0.967259259,0.510700119,0.818314643,1.933333333,178.2091287
200,50,100,0.96608,0.510947502,0.821085028,1.94,251.5240186
220,55,100,0.969735537,0.512108996,0.817889942,1.970909091,391.7661467
240,60,100,0.961680556,0.508307882,0.819275566,1.963333333,338.1573745
260,65,100,0.97164497,0.514525662,0.817012371,1.941538462,480.2398673
280,70,100,0.966622449,0.510985649,0.820115108,1.96,465.5320372
300,75,100,0.968142222,0.513767859,0.820905034,1.962666667,609.3375979
320,80,100,0.966757813,0.512156377,0.820546162,1.9725,718.6873709
