m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,25,100,4724,208.2263402,4726,212.3067464,0.96352,0.506898069,0.822079191,1.888,1.75255444
120,30,100,6839,323.5084907,6836,299.1800487,0.963055556,0.504990986,0.81826676,1.926666667,2.59456642
140,35,100,9305,387.7413935,9298,390.7114667,0.972,0.50999501,0.823318454,1.925714286,5.27820436
160,40,100,12065,393.1110984,12055,419.1456247,0.962875,0.508714815,0.820260093,1.915,9.58113022
180,45,100,15399,533.1026698,15383,533.0865518,0.967111111,0.51062233,0.818314495,1.933333333,16.71814794
200,50,100,18918,620.9142415,18920,605.1364525,0.96572,0.510757097,0.821084876,1.94,25.50898408
220,55,100,22994,730.2845706,22992,765.6186685,0.96968595,0.512082966,0.817889811,1.970909091,37.13431816
240,60,100,27385,832.1697377,27401,844.8095123,0.961472222,0.508198025,0.819275462,1.963333333,52.30749088
260,65,100,31882,877.72715,31916,868.0795828,0.971597633,0.514500634,0.817012254,1.941538462,68.27626362
280,70,100,37143,1030.036703,37148,1037.433157,-1,-1,-1,-1,-1
300,75,100,42283,1026.919896,42268,1016.606307,-1,-1,-1,-1,-1
320,80,100,48432,1275.244567,48438,1304.005021,-1,-1,-1,-1,-1
340,85,100,54503,1234.453295,54517,1228.47704,-1,-1,-1,-1,-1
360,90,100,60909,1291.006425,60915,1337.117305,-1,-1,-1,-1,-1
380,95,100,67945,1456.304683,67992,1459.89275,-1,-1,-1,-1,-1
400,100,100,75576,1686.926876,75610,1615.117456,-1,-1,-1,-1,-1
420,105,100,82977,1711.514151,82909,1722.330424,-1,-1,-1,-1,-1
440,110,100,90855,1713.610758,90796,1729.595126,-1,-1,-1,-1,-1
460,115,100,99449,1932.171637,99349,1945.955155,-1,-1,-1,-1,-1
480,120,100,107635,1939.819911,107616,1942.234651,-1,-1,-1,-1,-1
500,125,100,117077,2134.866232,117126,2189.255427,-1,-1,-1,-1,-1
520,130,100,126870,2218.297623,126950,2233.261525,-1,-1,-1,-1,-1
540,135,100,137117,2418.581287,137108,2404.637376,-1,-1,-1,-1,-1
560,140,100,147273,2496.101155,147220,2534.484907,-1,-1,-1,-1,-1
580,145,100,157761,2562.372705,157687,2621.418584,-1,-1,-1,-1,-1
600,150,100,167962,2680.584833,168101,2619.387116,-1,-1,-1,-1,-1
60,15,100,1731,117.3748125,1731,109.0957115,0.961555556,0.501759334,0.833728347,1.893333333,0.20405848
80,20,100,3040,198.0181521,3040,195.2728821,0.9585,0.502345928,0.8249437,1.95,0.5248628
