m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,25,100,4724,208.2263402,4726,212.3067464,0.96344,0.506856228,0.822079201,1.888,1.28774178
120,30,100,6839,323.5084907,6836,299.1800487,0.963277778,0.505108375,0.818266778,1.926666667,1.71126284
140,35,100,9305,387.7413935,9298,390.7114667,0.971959184,0.50997364,0.823318458,1.925714286,3.00896812
160,40,100,12065,393.1110984,12055,419.1456247,0.9626875,0.508615802,0.820260097,1.915,5.17920752
180,45,100,15399,533.1026698,15383,533.0865518,0.967037037,0.510583174,0.818314479,1.933333333,7.85221516
200,50,100,18918,620.9142415,18920,605.1364525,0.9658,0.51079945,0.821084864,1.94,13.49176832
220,55,100,22994,730.2845706,22992,765.6186685,0.969735537,0.512109233,0.817889812,1.970909091,21.12979638
240,60,100,27385,832.1697377,27401,844.8095123,0.961583333,0.508256548,0.819275446,1.963333333,27.89924394
260,65,100,31882,877.72715,31916,868.0795828,0.971597633,0.514500576,0.817012251,1.941538462,38.69242508
280,70,100,37143,1030.036703,37148,1037.433157,0.966520408,0.51093177,0.820114992,1.96,51.12262116
300,75,100,42283,1026.919896,42268,1016.606307,0.968044444,0.513715948,0.820904932,1.962666667,62.36622646
320,80,100,48432,1275.244567,48438,1304.005021,0.966679687,0.512115038,0.820546069,1.9725,83.14033784
340,85,100,54503,1234.453295,54517,1228.47704,0.968221453,0.513529513,0.818588462,1.974117647,106.2737328
360,90,100,60909,1291.006425,60915,1337.117305,0.970623457,0.516143416,0.811912322,1.962222222,125.1577376
380,95,100,67945,1456.304683,67992,1459.89275,0.966831025,0.513651798,0.814264811,1.972631579,165.0513054
400,100,100,75576,1686.926876,75610,1615.117456,0.97165,0.515744043,0.815045765,1.968,201.0022503
420,105,100,82977,1711.514151,82909,1722.330424,0.972081633,0.516593208,0.812518759,1.96952381,239.4904928
440,110,100,90855,1713.610758,90796,1729.595126,0.971012397,0.517002268,0.811792341,1.963636364,308.146431
460,115,100,99449,1932.171637,99349,1945.955155,0.968827977,0.515640839,0.810448468,1.975652174,344.3622015
480,120,100,107635,1939.819911,107616,1942.234651,0.972694444,0.51880247,0.814048987,1.961666667,480.2337135
500,125,100,117077,2134.866232,117126,2189.255427,0.9710816,0.517536038,0.816829722,1.9616,482.361289
520,130,100,126870,2218.297623,126950,2233.261525,0.971136095,0.519113184,0.812225666,1.981538462,615.4400123
540,135,100,137117,2418.581287,137108,2404.637376,-1,-1,-1,-1,-1
560,140,100,147273,2496.101155,147220,2534.484907,-1,-1,-1,-1,-1
580,145,100,157761,2562.372705,157687,2621.418584,-1,-1,-1,-1,-1
600,150,100,167962,2680.584833,168101,2619.387116,-1,-1,-1,-1,-1
60,15,100,1731,117.3748125,1731,109.0957115,0.961555556,0.501759334,0.833728351,1.893333333,0.1591879
80,20,100,3040,198.0181521,3040,195.2728821,0.958625,0.502411783,0.824943701,1.95,0.38229272
