m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time,factor
100,50,25,4758,223.0573221337084,2417,182.34007782775825,47,2.2486645,-1.0
200,100,50,18818,609.1346112964624,9776,504.8466578209014,95,10.4207985,-1.0
300,150,75,42162,1003.0002487815082,21998,816.167777431875,142,43.4515111,-1.0
400,200,100,75400,1528.7476328586058,38871,1246.4027875276338,196,235.3432314,-1.0
500,250,125,117298,2122.9663634564267,-1,-1.0,-1,-1.0,-1.0
1000,500,250,465310,5580.399732791002,-1,-1.0,-1,-1.0,-1.0
2000,1000,500,1840314,13737.370761761711,-1,-1.0,-1,-1.0,-1.0
3000,1500,750,4086807,23888.77023017484,-1,-1.0,-1,-1.0,-1.0
4000,2000,1000,7223207,34999.29109109842,-1,-1.0,-1,-1.0,-1.0
5000,2500,1250,11204577,47656.65689150685,-1,-1.0,-1,-1.0,-1.0
