m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,100,25,9235,277.6714348974361,4262,246.27627989759492,98,8.1510475
200,200,50,37538,717.8311219428895,17085,630.1264726756598,197,72.6794399
300,300,75,84001,1166.206241587404,38132,1029.6311960154255,297,188.7440726
400,400,100,148517,1865.2091096182394,68453,1647.293920926541,395,730.9032864
500,500,125,228510,2280.9093048998366,107086,2027.2670047732695,494,1143.9384184
1000,1000,250,896716,5780.959688177155,426816,5134.123229357335,994,6963.6670545
2000,2000,500,3526868,14946.221557092958,-1,-1.0,-1,7200.3328538
3000,3000,750,7797905,26413.35558516379,-1,-1.0,-1,-1.0
4000,4000,1000,13768556,39195.00788520589,-1,-1.0,-1,-1.0
5000,5000,1250,20838915,50161.22027290741,-1,-1.0,-1,-1.0
