m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,100,25,9235,277.6714348974361,4816,246.30344285160072,98,0.8018134
200,200,50,37538,717.8311219428895,19362,630.2271097024629,198,9.8155596
300,300,75,84001,1166.206241587404,42396,1029.8358370432668,297,27.0678053
400,400,100,148517,1865.2091096182394,75420,1647.658115055744,395,47.4324645
500,500,125,228510,2280.9093048998366,114317,2027.773708167088,494,72.4625912
1000,1000,250,896716,5780.959688177155,440573,5135.81520517513,994,262.206136
2000,2000,500,3526868,14946.221557092958,1705527,13259.629868673212,1991,863.0705515
3000,3000,750,7797905,26413.35558516379,3793587,23487.308327017065,2989,1621.4378778
4000,4000,1000,13768556,39195.00788520589,6662292,34795.75481697616,3983,3000.7541052
5000,5000,1250,20838915,50161.22027290741,10263657,44757.336268503655,4989,5185.7422065
