m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,100,25,9235,277.6714348974361,4260,246.27602719263112,98,280.4099258
200,200,50,37538,717.8311219428895,-1,-1.0,-1,-1.0
300,300,75,84001,1166.206241587404,-1,-1.0,-1,-1.0
400,400,100,148517,1865.2091096182394,-1,-1.0,-1,-1.0
500,500,125,228510,2280.9093048998366,-1,-1.0,-1,-1.0
1000,1000,250,896716,5780.959688177155,-1,-1.0,-1,-1.0
2000,2000,500,3526868,14946.221557092958,-1,-1.0,-1,-1.0
3000,3000,750,7797905,26413.35558516379,-1,-1.0,-1,-1.0
4000,4000,1000,13768556,39195.00788520589,-1,-1.0,-1,-1.0
5000,5000,1250,20838915,50161.22027290741,-1,-1.0,-1,-1.0
