m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221337084,2428,182.34070290410816,47,0.6252621
200,100,50,18818,609.1346112964624,9799,504.8489497244367,95,10.1245595
300,150,75,42162,1003.0002487815082,22020,816.173109603228,142,16.9478939
400,200,100,75400,1528.7476328586058,38906,1246.4156019181614,196,22.4106163
500,250,125,117298,2122.9663634564267,60616,1735.9470704371518,249,31.7941603
1000,500,250,465310,5580.399732791002,244614,4540.765646130135,496,137.9156357
2000,1000,500,1840314,13737.370761761711,972446,10999.693892453832,991,426.7493501
3000,1500,750,4086807,23888.77023017484,2177084,19070.858508526875,1497,767.2025376
4000,2000,1000,7223207,34999.29109109842,3863126,28050.716844812225,1993,1315.8506298
5000,2500,1250,11204577,47656.65689150685,6028241,38031.99847258635,2493,2192.507988
