m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221,2418,182.3401341,47,2.5244999
200,100,50,18818,609.1346113,9781,504.846727,95,93.343504
300,150,75,42162,1003.000249,21995,816.1678273,142,591.5788028
400,200,100,75400,1528.747633,38876,1246.402907,196,990.7362658
500,250,125,117298,2122.966363,60574,1735.926882,249,2230.49776
1000,500,250,465310,5580.399733,-1,-1,-1,-1
2000,1000,500,1840314,13737.37076,-1,-1,-1,-1
3000,1500,750,4086807,23888.77023,-1,-1,-1,-1
4000,2000,1000,7223207,34999.29109,-1,-1,-1,-1
5000,2500,1250,11204577,47656.65689,-1,-1,-1,-1
