m,n,r,AMP_norm_0,AMP_norm_1,norm_0,norm_1,rank,time
100,50,25,4758,223.0573221,2418,182.3402904,47,1.6368268
200,100,50,18818,609.1346113,9786,504.8473754,95,38.2251483
300,150,75,42162,1003.000249,21997,816.1695631,142,86.5382426
400,200,100,75400,1528.747633,38880,1246.407198,196,165.7154875
500,250,125,117298,2122.966363,60593,1735.932972,249,311.5932053
1000,500,250,465310,5580.399733,244682,4540.702828,496,843.7244396
2000,1000,500,1840314,13737.37076,974031,10999.47963,991,2344.57356
3000,1500,750,4086807,23888.77023,2182287,19070.39959,1497,4268.263321
4000,2000,1000,7223207,34999.29109,3874021,28049.95689,1993,6250.140281
5000,2500,1250,11204577,47656.65689,-1,-1,-1,-1
